,Data,Cotação (TDTF),Abertura,Máxima,Mínima,Vol.,Var%,,,Taxa de Juros,,,
,23/09/2011,"24,89","24,9","24,9","24,89","0,20K","-1,19%",,"0,00%","0,25%",,0,0
,27/09/2011,"25,04","25,07","25,07","24,87","3,08K","0,60%",,"0,00%","0,25%",,0,0
,28/09/2011,"25,14","25,04","25,14","25,04","13,96K","0,40%",,"0,00%","0,25%",,0,0
,29/09/2011,"24,91","24,86","25,09","24,84","3,93M","-0,91%",,"0,00%","0,25%",,0,0
,30/09/2011,"25,02","24,92","25,08","24,88","8,41K","0,44%",,"0,00%","0,25%",,0,0
,03/10/2011,"25,13","25,08","25,14","25,08","1,92K","0,44%",,"0,00%","0,25%",,0,0
,04/10/2011,"24,94","25,09","25,09","24,92","123,81K","-0,76%",,"0,00%","0,25%",,0,0
,05/10/2011,"24,91","24,92","24,92","24,8","34,12K","-0,12%",,"0,00%","0,25%",,0,0
,06/10/2011,"24,92","24,94","24,95","24,89","13,74K","0,04%",,"0,00%","0,25%",,0,0
,07/10/2011,"24,87","24,92","24,92","24,83","2,46K","-0,20%",,"0,00%","0,25%",,0,0
,10/10/2011,"24,99","24,9","24,99","24,9","2,98K","0,48%",,"0,00%","0,25%",,0,0
,11/10/2011,"24,85","24,88","24,88","24,76","6,86K","-0,56%",,"0,00%","0,25%",,0,0
,12/10/2011,"24,77","24,72","24,78","24,71","6,50K","-0,32%",,"0,00%","0,25%",,0,0
,13/10/2011,"24,69","24,77","24,77","24,69","10,74K","-0,32%",,"0,00%","0,25%",,0,0
,14/10/2011,"24,74","24,74","24,74","24,69","9,39K","0,20%",,"0,00%","0,25%",,0,0
,17/10/2011,"24,79","24,75","25,2","24,75","3,69K","0,20%",,"0,00%","0,25%",,0,0
,18/10/2011,"24,82","24,83","24,83","24,79","52,45K","0,12%",,"0,00%","0,25%",,0,0
,19/10/2011,"24,84","24,83","24,84","24,83","99,43K","0,08%",,"0,00%","0,25%",,0,0
,20/10/2011,"24,84","24,85","24,88","24,84","2,59K","0,00%",,"0,00%","0,25%",,0,0
,21/10/2011,"24,85","24,85","24,91","24,85","236,59K","0,04%",,"0,00%","0,25%",,0,0
,24/10/2011,"24,86","24,91","24,91","24,86","44,39K","0,04%",,"0,00%","0,25%",,0,0
,25/10/2011,"25,02","24,95","25,02","24,95","322,38K","0,64%",,"0,00%","0,25%",,0,0
,26/10/2011,"24,96","24,99","24,99","24,95","6,10K","-0,24%",,"0,00%","0,25%",,0,0
,27/10/2011,"24,87","24,93","24,95","24,84","14,81K","-0,36%",,"0,00%","0,25%",,0,0
,28/10/2011,"24,94","24,89","24,96","24,85","7,55K","0,28%",,"0,00%","0,25%",,0,0
,31/10/2011,"25,15","25,08","25,15","25,05","12,70K","0,84%",,"0,00%","0,25%",,0,0
,01/11/2011,"25,27","25,33","25,33","25,12","26,00K","0,48%",,"0,00%","0,25%",,"0,026","0,026"
,02/11/2011,"25,4","25,27","25,4","25,23","15,80K","0,51%",,"0,25%","0,25%",,0,"0,026"
,03/11/2011,"25,28","25,26","25,28","25,22","40,75K","-0,47%",,"0,00%","0,25%",,0,"0,026"
,04/11/2011,"25,43","25,35","25,43","25,32","66,27K","0,59%",,"0,00%","0,25%",,0,"0,026"
,07/11/2011,"25,39","25,38","25,46","25,38","70,55K","-0,16%",,"0,00%","0,25%",,0,"0,026"
,08/11/2011,"25,37","25,35","25,37","25,31","21,64K","-0,08%",,"0,00%","0,25%",,0,"0,026"
,09/11/2011,"25,28","25,34","25,35","25,28","9,68K","-0,35%",,"0,00%","0,25%",,0,"0,026"
,10/11/2011,"25,35","25,28","25,35","25,23","13,77K","0,28%",,"0,00%","0,25%",,0,"0,026"
,11/11/2011,"25,32","25,31","25,32","25,18","4,30K","-0,12%",,"0,00%","0,25%",,0,"0,026"
,14/11/2011,"25,27","25,28","25,34","25,24","6,56K","-0,20%",,"0,00%","0,25%",,0,"0,026"
,15/11/2011,"25,27","25,21","25,27","25,13","5,46K","0,00%",,"0,00%","0,25%",,0,"0,026"
,16/11/2011,"25,23","25,19","25,23","25,19","10,43K","-0,16%",,"0,00%","0,25%",,0,"0,026"
,17/11/2011,"25,2","25,21","25,21","25,07","50,03K","-0,12%",,"0,00%","0,25%",,0,"0,026"
,18/11/2011,"25,53","25,2","25,53","25,2","14,45K","1,31%",,"0,00%","0,25%",,0,"0,026"
,21/11/2011,"25,17","25,16","25,17","25,16","23,69K","-1,41%",,"0,00%","0,25%",,0,"0,026"
,22/11/2011,"25,13","25,18","25,58","24,81","16,58K","-0,16%",,"0,00%","0,25%",,0,"0,026"
,23/11/2011,"25,31","25,24","25,31","24,93","20,78K","0,72%",,"0,00%","0,25%",,0,"0,026"
,25/11/2011,"25,24","25,24","25,24","25,24","6,37K","-0,28%",,"0,00%","0,25%",,0,"0,026"
,28/11/2011,"25,29","25,2","25,29","25,15","11,57K","0,20%",,"0,00%","0,25%",,0,"0,026"
,29/11/2011,"25,24","25,19","25,29","25,14","13,72K","-0,20%",,"0,00%","0,25%",,0,"0,026"
,30/11/2011,"25,29","25,27","25,32","25,22","5,32K","0,20%",,"0,00%","0,25%",,0,"0,026"
,01/12/2011,"25,23","25,22","25,25","25,2","10,81K","-0,24%",,"0,00%","0,25%",,"0,017","0,043"
,02/12/2011,"25,27","25,25","25,33","25,18","32,21K","0,16%",,"0,00%","0,25%",,0,"0,043"
,05/12/2011,"25,34","25,34","25,34","25,34","38,81K","0,28%",,"0,00%","0,25%",,0,"0,043"
,06/12/2011,"25,3","25,27","25,3","25,2","19,88K","-0,16%",,"0,00%","0,25%",,0,"0,043"
,07/12/2011,"25,35","25,25","25,35","25,24","4,51K","0,20%",,"0,00%","0,25%",,0,"0,043"
,08/12/2011,"24,98","25,31","25,39","24,98","48,79K","-1,46%",,"0,00%","0,25%",,0,"0,043"
,09/12/2011,"25,25","25,27","25,27","25,24","91,34K","1,08%",,"0,00%","0,25%",,0,"0,043"
,12/12/2011,"25,32","25,31","25,32","25,25","30,25K","0,28%",,"0,00%","0,25%",,0,"0,043"
